EmployeeID,EmployeeName,Age,Gender,Department,JobRole,EducationField,Education,MonthlyIncome,HourlyRate,DailyRate,YearsAtCompany,YearsInCurrentRole,YearsWithCurrManager,TotalWorkingYears,NumCompaniesWorked,JobSatisfaction,EnvironmentSatisfaction,WorkLifeBalance,PerformanceRating,RelationshipSatisfaction,BusinessTravel,MaritalStatus,DistanceFromHome,OverTime,PercentSalaryHike,TrainingTimesLastYear,StockOptionLevel,JobInvolvement,Attrition,JoiningDate
EMP6548,Daniel Davis,46.0,Female,Operations,Financial Analyst,Technical Degree,2,13158.0,98,656,22.0,13,7,2.0,3,2.0,1,3.0,3.0,3,Non-Travel,Divorced,25,YES,16,4,2,2,No,--
EMP1332,Sarah Johnson,47.0,Male,Human resources,Financial Analyst,Marketing,4,11157.0,42,736,5.0,3,5,36.0,6,3.0,3,1.0,3.0,2,Travel_Frequently,Married,4,Yes,24,5,0,2,NO,2013/6/23
EMP7927,Patricia Wilson,,Female,Human Resources,Operations Lead,Technical Degree,2,10342.0,94,1078,32.0,11,13,,7,4.0,2,2.0,3.0,2,Non-Travel,Single,21,No,22,1,1,3,No,--
EMP7453,William Allen,53.0,Female,Marketing,,Human Resources,5,,78,753,5.0,3,4,38.0,5,1.0,3,1.0,3.0,3,Non-Travel,married,27,No,18,4,3,3,Y,1/22/2015
EMP1059,Robert Garcia,45.0,Female,SALES,Research Scientist,Technical Degree,2,,90,884,20.0,14,13,12.0,9,4.0,3,1.0,4.0,2,Travel_Frequently,Married,6,Yes ,12,0,2,1,No,--
EMP5243,James Miller,53.0,Female,Finance,HR Representative,Human Resources,3,11997.0,69,816,,1,0,35.0,8,4.0,1,3.0,3.0,1,Travel_Rarely,single,26,No,13,5,0,3,No,12/12/2013
EMP6915,Betty Jones,24.0,Female,Finance,Software Engineer,Other,1,8582.0,95,1365,21.0,2,15,,2,,3,4.0,3.0,2,Non-Travel,married,27,Yes,15,4,2,2,Y,2010/6/5
EMP2172,  Jessica Harris   ,,Male,Research & Development,Director,Other,4,8833.0,99,526,31.0,2,12,9.0,1,2.0,3,2.0,3.0,1,Non-Travel,Married,8,,21,4,0,3,Yes,
EMP2682,William Anderson,23.0,F,Human Resources,Manager,Medical,1,12396.0,68,314,20.0,8,17,29.0,6,2.0,2,1.0,4.0,3,Non-Travel,married,2,No,19,0,0,3,No,
EMP7051,Robert Davis,25.0,Male,H.R,Manager,Human Resources,3,8799.0,91,728,30.0,13,17,3.0,1,2.0,2,,3.0,3,Travel_Frequently,DIVORCED,5,No,24,1,2,4,Y,2019-12-05
EMP4621,Thomas Harris,26.0,Male,Research & Development,Manager,Marketing,1,11278.0,67,362,12.0,6,1,2.0,1,4.0,3,4.0,3.0,4,Non-Travel,Divorced,5,No,11,2,3,4,Yes,unknown
EMP1147,Nancy White,,f,Sales,Research Scientist,Marketing,2,6430.0,69,548,18.0,5,6,27.0,9,3.0,1,1.0,3.0,4,Travel_Rarely,Divorced,10,Y,22,5,0,1,No,5/15/2015
EMP1615,Sandra White,51.0,Male,research and development,,Human Resources,2,18895.0,39,1265,999.0,4,1,3.0,1,4.0,2,,3.0,3,Non-Travel,Single,5,Y,24,6,1,2,No,N/A
EMP6380,Mark Taylor,41.0,Female,SALES,Laboratory Technician,Human Resources,1,8991.0,67,116,34.0,7,0,0.0,8,2.0,1,1.0,3.0,2,Travel_Rarely,Married,19,No,11,0,0,3,No,22-3-2015
EMP6331,Richard Jones,60.0,Male,Finance,,Human Resources,4,5932.0,33,242,10.0,10,10,13.0,1,1.0,1,3.0,3.0,3,Non-Travel,divorced,20,No,23,2,3,3,No,2023/11/10
EMP1650,Margaret Jackson,34.0,M,Sales,Operations Lead,Medical,5,,30,182,,11,10,31.0,6,2.0,3,1.0,4.0,2,Non-Travel,Single,2,No,16,2,1,4,No,2024/5/8
EMP4530,Sandra Brown,32.0,Female,Operations,Software Engineer,Marketing,2,17867.0,68,1053,16.0,7,15,9.0,2,4.0,1,1.0,3.0,3,Non-Travel,Divorced,19,No,22,3,0,1,no ,27-4-2024
EMP5093,Matthew Allen,53.0,Male,Research & Development,Marketing Specialist,Life Sciences,1,17447.0,40,1368,20.0,16,15,,7,2.0,4,3.0,3.0,4,Non-Travel,Single,7,Yes ,24,2,3,3,no ,2012/11/6
EMP5230,Linda White,51.0,MALE,,Research Scientist,Human Resources,3,13159.0,68,1028,29.0,9,6,17.0,6,1.0,1,1.0,4.0,3,Travel_Frequently,Divorced,29,1,13,6,3,3,N,2 Oct 2018
EMP4742,William Johnson,-1.0,Female,Sales,Financial Analyst,Life Sciences,1,2119.0,99,505,16.0,11,11,33.0,1,1.0,2,3.0,3.0,2,Travel_Rarely,Divorced,28,yes,24,5,2,3,No,7-1-2010
EMP3684,Barbara Jackson,37.0,Male,Finance,Sales Executive,Technical Degree,1,6596.0,67,1090,18.0,2,0,4.0,5,,3,2.0,3.0,1,Travel_Rarely,DIVORCED,3,No,19,5,0,2,No,1-11-2017
EMP8841,Ashley Miller,30.0,Female,Operations,HR Representative,Marketing,3,7255.0,72,1342,29.0,17,7,14.0,5,3.0,1,4.0,3.0,2,Travel_Frequently,Married,30,No,18,3,0,1,No,6-8-2020
EMP5055,Patricia Anderson,29.0,f,Research & Development,Marketing Specialist,Technical Degree,4,15254.0,50,175,0.0,0,0,38.0,9,4.0,4,4.0,4.0,1,Non-Travel,Married,30,Yes,14,6,0,1,yes,
EMP8247,Christopher Taylor,42.0,mAle,Finance ,Financial Analyst,Other,4,6158.0,43,277,20.0,17,1,28.0,9,3.0,4,1.0,3.0,1,Non-Travel,DIVORCED,1,No,18,3,3,4,No,24-11-2017
EMP2900,  David Jones   ,51.0,Female,IT dept,Research Scientist,Technical Degree,2,13060.0,57,485,19.0,13,2,18.0,1,3.0,3,1.0,,1,Travel_Frequently,Single,11,Y,12,2,1,1,No,N/A
EMP4616,Robert Moore,36.0,Female,Marketing,Sales Executive,Marketing,5,8164.0,46,718,22.0,12,6,,5,1.0,2,,3.0,2,Non-Travel,Divorced,17,NO,16,3,1,1,Yes,2017/1/3
EMP2511,Linda Harris,32.0,Female,Sales,Manager,Technical Degree,4,18466.0,52,850,15.0,15,5,,7,4.0,4,,4.0,3,Travel_Rarely,Divorced,8,Yes,11,2,0,2,NO,2024/12/3
EMP1350,Charles Thomas,26.0,Female,Research & Development,Marketing Specialist,Other,5,3538.0,86,623,24.0,18,8,,4,3.0,4,4.0,,4,Travel_Rarely,Single,22,No,21,3,2,4,y,2011/11/25
EMP3607,  Sarah Thomas   ,32.0,Male,Research & Development,Laboratory Technician,Medical,1,10347.0,65,962,25.0,17,0,9.0,3,1.0,3,2.0,4.0,3,Travel_Frequently,Married,18,Y,12,3,3,2,YES,unknown
EMP5747,Christopher Williams,27.0,Female,research and development,Sales Executive,Other,1,,47,1170,12.0,10,8,17.0,8,4.0,4,1.0,3.0,1,Non-Travel,Divorced,18,YES,16,2,3,1,No,2/28/2012
EMP3522,Mary Garcia,53.0,F,Sales,Research Scientist,Human Resources,2,5583.0,79,345,22.0,11,5,26.0,1,2.0,2,4.0,3.0,4,Travel_Rarely,Single,23,,13,4,3,2,No,1/23/2022
EMP7906,Christopher Johnson,50.0,M,research and development,,Medical,3,2649.0,56,407,6.0,3,0,18.0,7,3.0,1,2.0,3.0,3,Non-Travel,Married,25,YES,12,6,0,3,No,
EMP5474,Christopher Jones,19.0,Male,Human resources,Financial Analyst,Technical Degree,3,15485.0,80,1246,10.0,4,3,28.0,6,4.0,4,2.0,3.0,2,Travel_Rarely,divorced,25,No,24,3,0,4,YES,
EMP2157,Linda Davis,42.0,Female,SALES,Director,Technical Degree,4,8908.0,38,1123,5.0,3,2,36.0,9,2.0,3,1.0,3.0,1,Non-Travel,Single,3,No,24,0,2,4,No,2019/6/9
EMP5000,Nancy Smith,36.0,Female,sales dept,Sales Executive,Marketing,5,$14337.0,92,516,31.0,18,5,2.0,7,1.0,1,,3.0,4,Travel_Frequently,Married,4,No,23,0,1,1,No,2017-10-27
EMP2421,Sandra Jones,54.0,Female,Marketing,HR Representative,Marketing,4,16154.0,34,889,24.0,5,9,28.0,1,,1,4.0,3.0,1,Travel_Frequently,Divorced,6,Yes,12,5,0,4,No,2016-04-27
EMP3421,Jennifer Jackson,44.0,Male,Finance,Manager,Marketing,5,,33,286,34.0,3,4,9.0,4,1.0,4,2.0,4.0,4,Non-Travel,DIVORCED,5,No,20,2,0,4,No,unknown
EMP6117,James Allen,,Male,Research & Development ,,Life Sciences,4,12092.0,57,1227,1.0,2,1,28.0,1,4.0,1,4.0,4.0,1,Travel_Rarely,Single,11,Yes,25,3,0,2,No,unknown
EMP1384,Michael Thompson,35.0,Female,Human Resources,Laboratory Technician,Medical,3,15811.0,86,1358,34.0,10,6,23.0,0,4.0,1,2.0,3.0,3,Travel_Rarely,Single,1,Yes,13,2,1,3,No,N/A
EMP6881,Charles Jones,25.0,Male,,Manager,Other,2,16882.0,41,591,27.0,11,6,40.0,4,4.0,2,3.0,3.0,1,Non-Travel,SINGLE,6,Yes,24,5,3,3,No,12 Jun 2023
EMP8428,Betty Davis,47.0,Female,Operations,Operations Lead,Life Sciences,4,6428.0,55,754,9.0,10,0,2.0,9,2.0,2,1.0,3.0,1,Travel_Frequently,DIVORCED,22,No,19,4,0,1,Yes,2010/9/7
EMP4104,Thomas Davis,41.0,f,Finance,Manager,Marketing,2,13634.0,61,967,11.0,2,2,17.0,6,,4,4.0,4.0,3,Travel_Frequently,Single,23,Yes,11,0,0,4,Yes ,N/A
EMP3086,Jessica Allen,60.0,Female,R & D,Marketing Specialist,Life Sciences,3,$15719.0,93,514,32.0,1,7,15.0,7,3.0,2,4.0,3.0,1,Non-Travel,Married,9,Yes,15,1,0,1,No,unknown
EMP5213,James White,32.0,Female,Sales,Laboratory Technician,Medical,4,11981.0,50,1305,19.0,11,14,5.0,1,2.0,1,2.0,3.0,3,Travel_Frequently,Divorced,17,no,24,5,1,2,No,--
EMP2222,Mary Harris,N/A,Male,Human Resources,Financial Analyst,Technical Degree,3,11388.0,34,113,23.0,7,0,14.0,4,1.0,4,3.0,4.0,2,Travel_Frequently,Single,18,no,21,1,1,1,No,2020-11-24
EMP6347,Matthew Johnson,,Female,Human Resources,Research Scientist,Medical,4,,60,1060,20.0,18,9,26.0,3,2.0,4,2.0,3.0,1,Travel_Frequently,single,9,no,14,4,3,2,No,N/A
EMP2197,Linda Miller,,Female,Sales,Financial Analyst,Technical Degree,2,,31,629,5.0,2,4,19.0,3,3.0,2,2.0,3.0,1,Non-Travel,Married,18,Yes,20,1,1,1,No,1 Dec 2023
EMP6641,Susan Garcia,,Male,Sales,Manager,Other,3,10905.0,94,539,12.0,10,12,3.0,8,4.0,2,4.0,3.0,2,Travel_Rarely,Divorced,21,Yes,21,0,3,3,No,28 May 2020
EMP7952,John Garcia,18.0,Male,Finance,Laboratory Technician,Marketing,5,10944.0,30,364,16.0,2,6,5.0,5,,4,3.0,3.0,1,Travel_Frequently,Married,24,No,13,1,3,4,Yes,3-1-2010
EMP8561,Lisa Miller,40.0,Female,Sales,HR Representative,Technical Degree,4,16740.0,48,1045,30.0,2,5,33.0,0,4.0,1,2.0,3.0,1,Travel_Frequently,Married,23,YES,15,6,2,4,No,10/17/2017
EMP7016,William Thomas,0.0,Male,,Financial Analyst,Human Resources,3,,78,432,18.0,2,17,22.0,5,1.0,3,2.0,3.0,2,Travel_Rarely,single,20,,12,0,0,2,Yes,
EMP6314,Joseph Garcia,34.0,Male,IT,Software Engineer,Human Resources,3,7573.0,62,371,24.0,2,10,9.0,4,3.0,3,3.0,3.0,3,Non-Travel,Married,13,No,22,0,3,3,Yes,7/20/2013
EMP5774,  Sarah Thomas   ,30.0,Male,Finance,Operations Lead,Human Resources,3,3251.0,96,924,29.0,4,10,,9,2.0,2,4.0,3.0,2,Travel_Rarely,Divorced,8,No,19,2,3,3,n,N/A
EMP6434,Richard White,52.0,fEmale,Research & Development ,Financial Analyst,Marketing,4,15933.0,62,326,,7,6,38.0,4,3.0,2,,3.0,2,Travel_Rarely,Single,14,,25,6,2,2,No,9 Nov 2018
EMP5427,James Wilson,55.0,male,Sales,,Technical Degree,3,13098.0,75,880,25.0,5,14,38.0,0,3.0,4,4.0,3.0,2,Travel_Frequently,Divorced,17,Yes,19,3,2,1,No,--
EMP8637,Thomas Garcia,,Male,IT,Marketing Specialist,Human Resources,5,6822.0,33,155,28.0,2,14,,1,1.0,1,2.0,3.0,4,Travel_Frequently,Married,3,No,13,0,1,4,No,5/4/2020
EMP7891,Matthew Davis,60.0,female,Sales,Software Engineer,Technical Degree,1,1993.0,55,1117,26.0,8,11,32.0,7,2.0,4,1.0,4.0,4,Non-Travel,Single,13,Y,15,6,1,4,No,N/A
EMP7641,Barbara Wilson,,Female,,Financial Analyst,Life Sciences,1,12925.0,50,934,,16,1,32.0,1,3.0,3,1.0,,3,Travel_Rarely,Married,4,yes,20,2,3,3,Yes ,--
EMP3904,Mary Jones,41.0,Male,Sales ,HR Representative,Life Sciences,4,19186.0,89,448,8.0,8,7,14.0,9,4.0,2,1.0,3.0,3,Travel_Frequently,SINGLE,15,Yes,20,5,3,3,No,unknown
EMP3992,Charles Moore,,fEmale,,Operations Lead,Other,2,,87,133,8.0,0,6,24.0,5,4.0,1,1.0,4.0,2,Travel_Frequently,Divorced,27,N,20,2,3,4,Yes,2023-07-28
EMP7643,Barbara Thompson,58.0,male,Marketing,Financial Analyst,Human Resources,1,14615.0,43,1285,29.0,7,8,29.0,5,3.0,4,3.0,3.0,2,Travel_Rarely,Divorced,23,Yes,16,0,0,2,Yes,N/A
EMP3345,Anthony Jones,43.0,Male,Sales,Director,Marketing,3,15729.0,83,432,5.0,1,2,31.0,6,2.0,3,,3.0,2,Travel_Rarely,Single,21,No,14,0,3,1,No,23-12-2011
EMP2435,Robert Harris@,?,female,Human Resources,Operations Lead,Life Sciences,3,5818.0,33,628,10.0,3,9,0.0,0,1.0,1,2.0,3.0,4,Travel_Frequently,Divorced,20,no,23,5,2,2,Yes,11/4/2023
EMP4462,Sandra Young,,Female,R & D,Software Engineer,Life Sciences,5,7898.0,94,1287,15.0,2,14,37.0,9,3.0,3,2.0,4.0,4,Non-Travel,Single,7,No,14,4,1,3,No,2018-01-16
EMP1108,Daniel Garcia,46.0,Male,R&D,Operations Lead,Other,3,19869.0,45,405,32.0,7,3,16.0,6,4.0,4,3.0,3.0,4,Non-Travel,Single,24,No,22,6,1,2,No,19 Jun 2016
EMP5369,Linda Jones,47.0,Female,Research & Development,Sales Executive,Technical Degree,2,8826.0,89,1060,33.0,15,7,5.0,0,3.0,3,3.0,4.0,4,Travel_Rarely,Married,25,No,24,1,1,4,No,N/A
EMP8275,Jessica Miller,,m,IT,Laboratory Technician,Medical,3,9784.0,40,935,20.0,10,1,36.0,9,3.0,2,2.0,3.0,4,Non-Travel,Married,1,No,21,1,0,4,no ,6 Oct 2020
EMP5570,Susan Allen,34.0,Female,Human Resources,Research Scientist,Life Sciences,1,12870.0,89,968,16.0,17,10,8.0,1,4.0,1,3.0,3.0,1,Travel_Rarely,married,18,YES,14,6,0,1,No,20 Sep 2019
EMP2791,John Moore,37.0,Male,Sales ,Software Engineer,Other,5,3435.0,41,1223,29.0,4,3,32.0,3,3.0,1,2.0,3.0,4,Non-Travel,DIVORCED,2,No,18,4,2,3,No,unknown
EMP2955,Charles Smith,44.0,f,,Sales Executive,Life Sciences,4,17322.0,50,683,19.0,5,13,9.0,0,1.0,1,3.0,3.0,4,Travel_Frequently,DIVORCED,28,N,11,4,2,3,No,2019/3/22
EMP1186,John Wilson,54.0,Male,it,Software Engineer,Marketing,3,17801.0,95,825,17.0,11,10,4.0,0,4.0,2,4.0,3.0,4,Travel_Rarely,Married,4,yes,21,1,2,2,No,12 Jul 2022
EMP7469,David Williams,,Female,Operations,Operations Lead,Other,4,14585.0,42,840,26.0,0,7,31.0,1,3.0,1,2.0,3.0,3,Non-Travel,single,5,No,20,5,1,1,No,8/18/2010
EMP3253,Karen Jackson,43.0,Female,Finance,,Human Resources,1,14485.0,92,1347,29.0,14,14,37.0,6,3.0,1,2.0,3.0,3,Travel_Frequently,Single,19,Yes,11,2,1,2,yes,19 Dec 2019
EMP2061,Daniel Taylor,56.0,Male,SALES,Marketing Specialist,Other,1,4391.0,33,164,15.0,15,1,25.0,0,2.0,2,1.0,3.0,3,Non-Travel,Married,7,No,24,0,3,3,No,N/A
EMP5645,Jessica Davis,38.0,Male,Human resources,Laboratory Technician,Medical,5,15968.0,94,476,25.0,2,10,22.0,0,2.0,4,4.0,3.0,2,Travel_Rarely,Single,20,Yes ,14,1,1,1,Yes ,10/19/2018
EMP6001,  David Miller   ,30.0,Female,IT,Research Scientist,Human Resources,4,10683.0,95,1353,25.0,9,17,29.0,5,2.0,2,4.0,3.0,2,Travel_Rarely,Single,18,No,13,3,3,4,n,2021/5/26
EMP3209,Nancy Brown,41.0,Female,Finance,Operations Lead,Human Resources,5,7838.0,51,759,11.0,5,6,26.0,5,,1,1.0,3.0,3,Non-Travel,Single,20,No,14,6,1,1,No,14 Oct 2015
EMP8371,Joseph Davis,54.0,Male,sales dept,Manager,Technical Degree,4,2417.0,32,288,32.0,2,15,36.0,5,2.0,1,1.0,,2,Non-Travel,Married,30,,19,3,3,1,No,unknown
EMP6817,John Miller,33.0,Male,Research & Development,Director,Life Sciences,1,11283.0,82,915,,6,11,11.0,0,,2,1.0,3.0,1,Travel_Rarely,Divorced,21,No,11,5,2,1,No,10/1/2012
EMP4383,Matthew Thomas,33.0,F,Human resources,Financial Analyst,Life Sciences,2,2314.0,69,1400,32.0,1,4,7.0,3,4.0,3,3.0,4.0,2,Travel_Frequently,Single,11,No,24,0,1,1,No,2014/3/6
EMP4253,Richard Wilson,21.0,Male,R & D,,Technical Degree,1,15106.0,76,687,27.0,5,13,,5,3.0,3,4.0,3.0,4,Travel_Rarely,Single,11,0,13,1,0,2,0,16 Feb 2011
EMP2118,Betty Anderson,36.0,Female,Finance,Director,Medical,3,18223.0,50,859,33.0,6,1,2.0,9,2.0,4,3.0,3.0,3,Non-Travel,single,2,,12,6,0,4,No,N/A
EMP7255,James Young,44.0,Female,,Software Engineer,Human Resources,4,17859.0,56,272,35.0,9,4,10.0,6,3.0,2,1.0,3.0,2,Travel_Rarely,Single,19,Yes,16,0,3,1,No,2011/8/20
EMP1747,James Harris,38.0,female,IT dept,Marketing Specialist,Other,1,9601.0,83,883,,4,4,13.0,7,2.0,2,2.0,3.0,4,Travel_Frequently,Married,3,Yes,11,6,2,2,0,2011-10-22
EMP2772,Sandra Taylor,54.0,Male,Sales,Sales Executive,Technical Degree,5,,99,1027,10.0,4,2,8.0,7,2.0,1,1.0,3.0,3,Non-Travel,Divorced,23,yes,16,4,1,2,Yes ,8/25/2010
EMP3746,Jennifer Davis,39.0,Female,SALES,Director,Technical Degree,1,9208.0,83,871,24.0,9,3,10.0,5,4.0,4,2.0,3.0,1,Travel_Frequently,married,10,No,12,0,2,1,No,2022-10-13
EMP2544,Sandra Taylor,31.0,Male,IT,Laboratory Technician,Human Resources,3,8693.0,67,687,33.0,14,15,23.0,7,1.0,4,,3.0,2,Non-Travel,Divorced,26,No,12,5,3,3,No,2012/4/18
EMP4817,Barbara Davis,50.0,Male,Operations,Marketing Specialist,Medical,4,13879.0,53,1387,29.0,15,14,34.0,4,2.0,1,2.0,3.0,1,Travel_Frequently,Married,6,Yes,18,4,2,2,NO,2011-03-11
EMP3043,Sarah Harris,31.0,M,it,Sales Executive,Life Sciences,4,6706.0,80,401,31.0,3,10,36.0,4,1.0,4,2.0,3.0,3,Travel_Rarely,divorced,7,No,11,6,0,4,No,--
EMP4641,William Thomas,,Female,Research & Development,Research Scientist,Other,5,11702.0,59,1005,11.0,9,2,10.0,6,3.0,4,3.0,3.0,3,Travel_Rarely,Single,17,Yes,20,3,2,3,0,27 Jan 2020
EMP7011,Sandra Brown,55.0,female,Finance,Sales Executive,Life Sciences,2,7904.0,84,1190,5.0,1,2,15.0,4,4.0,1,4.0,3.0,1,Non-Travel,Married,8,Yes,11,6,0,3,No,--
EMP8776,Betty Martin,51.0,Female,Marketing,Research Scientist,Human Resources,2,13528.0,30,171,12.0,7,5,40.0,9,3.0,4,4.0,4.0,3,Travel_Rarely,Single,24,No,22,5,3,2,1,2013/9/26
EMP3662,Sandra Harris$$,46.0,Female,R&D,Operations Lead,Human Resources,3,15617.0,85,817,20.0,13,4,22.0,5,3.0,4,,3.0,4,Travel_Rarely,Divorced,16,No,22,2,0,2,Yes,unknown
EMP5800,  Thomas Williams   @,28.0,Male,Marketing,Marketing Specialist,Life Sciences,4,10818.0,84,1238,23.0,9,1,25.0,4,,1,2.0,3.0,1,Travel_Frequently,Married,13,Yes,19,1,2,2,Yes,2024/8/19
EMP4070,Christopher Allen,58.0,Female,Marketing,Operations Lead,Life Sciences,2,19269.0,46,1046,7.0,7,1,24.0,9,1.0,3,3.0,3.0,2,Non-Travel,Divorced,2,Yes,12,1,1,1,No,--
EMP2010,Matthew Harris,44.0,Male,Sales,,Other,3,16400.0,72,1241,,17,7,,0,4.0,2,2.0,3.0,4,Non-Travel,Divorced,24,No,15,2,2,4,No,2012-04-10
EMP2538,Linda Miller,,f,IT dept,Sales Executive,Human Resources,1,17137.0,99,1243,7.0,4,7,20.0,3,1.0,2,4.0,4.0,1,Travel_Frequently,Divorced,21,No,13,5,1,2,No,--
EMP4457,Michael Thompson,,Male,,Director,Medical,4,3282.0,41,1343,23.0,3,7,40.0,5,,1,2.0,3.0,3,Travel_Frequently,Married,25,No,16,0,3,3,yes,2019-04-15
EMP8149,Michael Miller,33.0,Female,Sales,Manager,Human Resources,1,5403.0,58,1026,34.0,10,6,8.0,9,4.0,1,2.0,3.0,2,Travel_Rarely,Single,6,No,19,2,3,3,No,5/1/2024
EMP4780,Sandra Anderson,22.0,Female,Operations,Software Engineer,Technical Degree,5,$9578.0,64,319,32.0,3,14,15.0,0,3.0,4,2.0,3.0,1,Travel_Rarely,Married,24,Yes,17,4,0,3,No,unknown
EMP7503,Lisa Smith,30.0,Female,Operations,Operations Lead,Marketing,2,9704.0,90,445,,15,6,36.0,5,3.0,1,4.0,4.0,2,Travel_Frequently,Single,10,Yes,23,3,1,2,No,27 Jul 2024
EMP1987,Linda Young,53.0,Female,R & D,Financial Analyst,Human Resources,3,9171.0,86,1012,32.0,15,15,10.0,6,2.0,4,1.0,3.0,3,Travel_Rarely,SINGLE,5,YES,14,1,2,1,No,6/3/2012
EMP3035,Anthony White,40.0,FEMALE,Finance,Financial Analyst,Technical Degree,2,0.0,56,1085,34.0,5,10,9.0,2,3.0,4,1.0,4.0,3,Travel_Rarely,Divorced,15,1,11,3,0,4,No,unknown
EMP3204,William White,27.0,Male,,Financial Analyst,Life Sciences,3,7596.0,81,1016,,0,3,13.0,4,4.0,1,1.0,,3,Travel_Rarely,divorced,3,0,17,4,2,1,No,N/A
EMP6461,Ashley Wilson,39.0,Female,IT,Marketing Specialist,Marketing,3,8652.0,88,344,31.0,12,7,18.0,7,2.0,3,1.0,,2,Travel_Frequently,Divorced,16,,18,4,2,2,No,2023-08-14
EMP1784,Karen Martin,18.0,Female,,Marketing Specialist,Life Sciences,4,12209.0,40,1139,7.0,4,6,39.0,6,2.0,3,4.0,3.0,3,Travel_Rarely,Single,9,yes,22,5,1,2,Yes,1 Apr 2016
EMP4770,Ashley Garcia,23.0,Male,Human Resources,Manager,Human Resources,5,5032.0,61,915,11.0,2,0,5.0,6,4.0,4,1.0,3.0,4,Travel_Frequently,Married,26,No,21,4,2,2,No,2022-09-16
EMP5397,Mary Thomas,25.0,Male,Human Resources,Marketing Specialist,Other,5,4430.0,60,393,31.0,18,3,,0,4.0,4,2.0,3.0,2,Non-Travel,Divorced,9,No,21,3,1,3,No,--
EMP5841,  Mark Thomas   ,--,Male,Marketing,Operations Lead,Marketing,4,18853.0,46,1022,35.0,12,12,34.0,6,,3,2.0,3.0,1,Travel_Frequently,Married,26,YES,21,5,0,2,No,2024-03-05
EMP3510,Richard Anderson,52.0,Female,Research & Development,Research Scientist,Medical,5,6207.0,72,356,33.0,15,1,17.0,2,2.0,2,,3.0,2,Non-Travel,single,12,yes,14,4,2,4,Yes,--
EMP6743,Jennifer Moore,20.0,female,it,Manager,Human Resources,2,,93,798,24.0,6,5,,3,2.0,4,2.0,3.0,1,Travel_Rarely,Divorced,25,Yes,17,3,1,2,yes,
EMP8699,Karen Allen,,Male,HR,Marketing Specialist,Other,5,16954.0,84,1365,2.0,3,3,19.0,2,4.0,1,1.0,3.0,1,Non-Travel,DIVORCED,1,No,17,6,2,4,1,9 Oct 2013
EMP2857,  Robert Wilson   ,28.0,FEMALE,Marketing,Financial Analyst,Human Resources,5,12150.0,47,653,5.0,6,3,24.0,6,1.0,2,2.0,3.0,2,Travel_Frequently,Single,29,YES,11,1,0,1,Y,N/A
EMP8312,Jessica Smith,28.0,Female,Sales,Sales Executive,Life Sciences,5,$16567.0,87,605,28.0,0,6,17.0,2,4.0,4,,4.0,3,Non-Travel,SINGLE,22,1,15,0,0,1,0,28-12-2024
EMP4221,Mary Garcia,42.0,Male,IT,Director,Medical,1,5423.0,84,1373,,11,0,15.0,3,2.0,4,1.0,3.0,2,Travel_Rarely,married,30,Yes,13,5,3,4,YES,13-3-2016
EMP2262,Barbara Smith,60.0,Male,,,Other,4,9554.0,98,1141,12.0,1,6,2.0,0,2.0,4,1.0,3.0,4,Travel_Frequently,DIVORCED,1,No,13,0,2,2,No,unknown
EMP3461,Patricia Anderson,,Male,Sales,Laboratory Technician,Other,3,7161.0,100,591,,6,14,,1,4.0,4,4.0,3.0,2,Non-Travel,Married,8,Yes,23,0,0,4,0,26-1-2024
EMP1470,Betty White,56.0,Female,Human Resources,HR Representative,Human Resources,1,10222.0,82,1020,1.0,0,0,27.0,7,3.0,4,2.0,3.0,4,Non-Travel,Divorced,7,No,18,4,0,3,No,28 Nov 2022
EMP4448,Patricia Anderson,18.0,Female,IT,Software Engineer,Marketing,3,,44,133,4.0,3,4,,1,,1,2.0,3.0,3,Non-Travel,Married,8,Y,15,2,1,2,1,23 Jul 2016
EMP8585,  Sarah Miller   ,41.0,Female,Research & Development,Laboratory Technician,Technical Degree,1,,85,1119,3.0,4,1,,4,4.0,2,4.0,4.0,3,Travel_Frequently,Divorced,28,,18,1,0,2,N,
EMP4560,David Johnson,28.0,Male,Marketing,Director,Medical,3,13632.0,61,300,0.0,1,1,37.0,6,3.0,1,1.0,3.0,2,Travel_Rarely,Divorced,19,No,13,6,3,3,NO,2022/9/20
EMP3034,Richard Johnson,51.0,MALE,Sales ,Operations Lead,Other,1,7743.0,67,903,2.0,3,3,,4,2.0,3,4.0,3.0,4,Travel_Rarely,Divorced,18,,18,5,3,3,n,3/24/2019
EMP6271,Jessica Thompson,18.0,f,Operations,Laboratory Technician,Other,2,17571.0,94,256,13.0,10,11,23.0,4,3.0,4,3.0,3.0,2,Travel_Frequently,Married,11,Yes,15,0,2,4,yes,23 Oct 2021
EMP5414,William Davis,35.0,F,R & D,,Marketing,3,15170.0,52,839,30.0,9,16,29.0,2,3.0,1,2.0,3.0,3,Travel_Rarely,Married,2,N,20,6,1,1,No,1/16/2013
EMP4566,William Anderson,58.0,FEMALE,SALES,Marketing Specialist,Marketing,1,,60,1370,33.0,18,13,37.0,2,1.0,4,1.0,3.0,3,Non-Travel,Married,8,Y,11,3,1,1,Yes,10-12-2015
EMP3633,Susan Miller,53.0,Male,Finance ,Operations Lead,Medical,3,15858.0,94,1134,7.0,8,2,16.0,2,1.0,4,3.0,4.0,4,Non-Travel,Married,6,yes,18,6,0,4,No,N/A
